method,multiplier,model,accuracy,f1_macro
SMOTE,1,LightGBM,0.6407102561731249,0.6795047220902578
SMOTE,1,XGBoost,0.639831684083973,0.6790093240301347
SMOTE,1,TabNet,0.6531027466937945,0.6889708182699698
SMOTE,3,LightGBM,0.6407564968093961,0.6794787819304167
SMOTE,3,XGBoost,0.6385369462683806,0.6769955693775278
SMOTE,3,TabNet,0.6582816979561639,0.6964318302767847
SMOTE,5,LightGBM,0.6396467215388884,0.6791092233234514
SMOTE,5,XGBoost,0.644317025802275,0.682236726222718
SMOTE,5,TabNet,0.6599001202256543,0.6973874210346356
SMOTE,10,LightGBM,0.6379820586331268,0.6770767571437247
SMOTE,10,XGBoost,0.6426061222602423,0.6803651338788111
SMOTE,10,TabNet,0.6531952279663368,0.6941860456121212
ADASYN,1,LightGBM,0.6407102561731249,0.6795047220902578
ADASYN,1,XGBoost,0.639831684083973,0.6790093240301347
ADASYN,1,TabNet,0.6531027466937945,0.6889708182699698
ADASYN,3,LightGBM,0.6288726532877092,0.6576014877904123
ADASYN,3,XGBoost,0.6289651345602516,0.6554845343687058
ADASYN,3,TabNet,0.6442245445297328,0.6621909061209472
ADASYN,5,LightGBM,0.6259132525663553,0.65190608000086
ADASYN,5,XGBoost,0.6211504670304263,0.6449673233152178
ADASYN,5,TabNet,0.6254970868399149,0.6407658678388205
ADASYN,10,LightGBM,0.6208267825765282,0.6491445045347689
ADASYN,10,XGBoost,0.6151854249514473,0.640968208094818
ADASYN,10,TabNet,0.620133173032461,0.6293146455096252
BorderlineSMOTE,1,LightGBM,0.6407102561731249,0.6795047220902578
BorderlineSMOTE,1,XGBoost,0.639831684083973,0.6790093240301347
BorderlineSMOTE,1,TabNet,0.6531027466937945,0.6889708182699698
BorderlineSMOTE,3,LightGBM,0.6300749098307593,0.6567558503207718
BorderlineSMOTE,3,XGBoost,0.6182835475816147,0.6424537913718841
BorderlineSMOTE,3,TabNet,0.6291963377416073,0.648105809936492
BorderlineSMOTE,5,LightGBM,0.6172200129473782,0.6420879714271948
BorderlineSMOTE,5,XGBoost,0.6125497086839915,0.6351927592883982
BorderlineSMOTE,5,TabNet,0.6027004531582355,0.6026489756879359
BorderlineSMOTE,10,LightGBM,0.6092666235087395,0.6338869421677502
BorderlineSMOTE,10,XGBoost,0.5942384167206141,0.6163399150770897
BorderlineSMOTE,10,TabNet,0.5782391565707944,0.5951895142089431
MIX,1,LightGBM,0.6407102561731249,0.6795047220902578
MIX,1,XGBoost,0.639831684083973,0.6790093240301347
MIX,1,TabNet,0.6531027466937945,0.6889708182699698
MIX,3,LightGBM,0.6333579950060113,0.6681608953194922
MIX,3,XGBoost,0.6304910755571996,0.6632236413055866
MIX,3,TabNet,0.6303985942846574,0.6522035149262626
MIX,5,LightGBM,0.6284102469249977,0.6619691876159387
MIX,5,XGBoost,0.6242023490243226,0.6557650171302435
MIX,5,TabNet,0.6351151391843152,0.6659698785798444
MIX,10,LightGBM,0.6250346804772033,0.6563397556180397
MIX,10,XGBoost,0.6198094885785629,0.6483213905354644
MIX,10,TabNet,0.631462128918894,0.6510992993541527
